CATEGORIA,PERFIL,DIA,MES,ANO,IPD,PD,FAMA,ENGAJ,VALENCIA,MOD,RANKING,META,INTERESSE
Person. Nacionais - Tracking',Sergio Moro,14,1,2021,  18.86612 ,  4.00000 ,  1.00000 ,  1.20679 ,  1.00000 ,  2.16550 ,11,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.13685 
Person. Nacionais - Tracking',Flávio Dino,14,1,2021,  18.74680 ,  4.00000 ,  1.62777 ,  1.05636 ,  2.43341 ,  1.13935 ,12,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.00000 
Person. Nacionais - Tracking',Rodrigo Pacheco,14,1,2021,  13.85951 ,  4.00000 ,  1.28071 ,  1.00000 ,  1.00000 ,  1.00000 ,13,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.25342 
Person. Nacionais - Tracking',Luiza Trajano,14,1,2021,  12.09320 ,  4.00000 ,  1.12772 ,  1.00019 ,  1.00000 ,  1.00043 ,14,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.08228 
Person. Nacionais - Tracking',Jair Bolsonaro,14,1,2021,  80.96994 ,  4.00000 ,  3.54457 ,  4.00000 ,  4.00000 ,  4.00000 ,1,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  4.00000 
Person. Nacionais - Tracking',Luciano Huck,14,1,2021,  45.91662 ,  4.00000 ,  4.00000 ,  2.37682 ,  3.58500 ,  1.61003 ,2,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.33975 
Person. Nacionais - Tracking',Lula,14,1,2021,  35.85855 ,  4.00000 ,  2.08343 ,  1.50204 ,  2.52987 ,  1.71759 ,3,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.59556 
Person. Nacionais - Tracking',João Doria,14,1,2021,  34.84464 ,  4.00000 ,  2.27128 ,  1.28045 ,  2.22871 ,  1.40213 ,4,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  2.88017 
Person. Nacionais - Tracking',Alexandre Kalil,14,1,2021,  34.69959 ,  4.00000 ,  1.70241 ,  1.58243 ,  2.42782 ,  3.57972 ,5,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.01431 
Person. Nacionais - Tracking',Guilherme Boulos,14,1,2021,  33.23996 ,  4.00000 ,  2.10235 ,  1.36074 ,  3.58288 ,  2.54325 ,6,"{'partido':'', 'sigla':'', 'pasta':'', 'uf':'', 'cidade':''}",  1.05407 
