PERFIL;IPD;PD;FAMA;ENGAJ;VALENCIA;MOD;RANKING;INTERESSE
Luiza Trajano;1270739;400000;126917;100103;100000;100124;14;105705
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Lula;3749492;400000;265596;153412;249906;141440;2;260509
Luciano Huck;3451705;400000;328344;139130;385473;116736;3;127614
Arthur Lira;3345631;400000;317072;113710;360713;142461;4;132400
Ciro Gomes;3252174;400000;196231;205374;363869;148995;5;128664
Joao Doria;2992562;400000;175587;130672;219658;118039;6;267796
Guilherme Boulos;2690491;400000;243973;132896;234923;150375;7;111533
Fernando Haddad;2590832;400000;174509;137753;360938;141576;8;108279
Rodrigo Maia;2483198;400000;244221;133567;172038;114837;9;132952
Rodrigo Pacheco;1873537;400000;148754;105791;261835;101045;10;116645
Flavio Dino;1773265;400000;142906;106508;250800;110146;11;100000
Alexandre Kalil;1640276;400000;124284;111298;237809;103866;12;100224
Sergio Moro;1443325;400000;100000;120326;100000;125381;13;118128
Luiza Trajano;1265811;400000;123623;100000;100000;100000;14;108142
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Lula;3485029;400000;213974;158793;250739;136871;2;260283
Guilherme Boulos;3478630;400000;227924;231600;382610;138834;3;113694
Luciano Huck;3464806;400000;320260;146294;387059;114200;4;131875
Arthur Lira;3171457;400000;291492;112783;363087;132872;5;134102
Joao Doria;2583163;400000;161547;131509;220776;112568;6;211779
Fernando Haddad;2513068;400000;163869;142450;365117;128810;7;109487
Ciro Gomes;2391551;400000;180402;130941;225632;144639;8;129267
Rodrigo Maia;2355192;400000;221455;135255;172438;112835;9;131500
Rodrigo Pacheco;1927766;400000;154013;106314;262734;100970;10;120506
Flavio Dino;1719920;400000;135638;105830;251063;107857;11;100000
Alexandre Kalil;1645827;400000;123288;111937;238575;103374;12;101618
Sergio Moro;1388365;400000;100000;120538;100000;121719;13;111464
Luiza Trajano;1266167;400000;121555;100000;100000;100000;14;110148
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Luciano Huck;3488566;400000;313346;144480;392532;118175;2;138494
Guilherme Boulos;3433150;400000;221496;230809;378301;137320;3;115667
Lula;3404459;400000;192074;156498;250996;134633;4;270794
Arthur Lira;3161693;400000;287268;112324;368525;131943;5;135323
Fernando Haddad;2636511;400000;166505;157704;362448;129104;6;114312
Joao Doria;2484239;400000;158857;133594;200380;114441;7;201590
Ciro Gomes;2303087;400000;168850;125200;226219;137035;8;136900
Rodrigo Maia;2154846;400000;198663;137291;144675;112354;9;127498
Rodrigo Pacheco;1918435;400000;149385;105845;262766;101043;10;123594
Flavio Dino;1695630;400000;134183;104268;249780;106961;11;100000
Alexandre Kalil;1681346;400000;126788;111416;238601;103506;12;105049
Sergio Moro;1405008;400000;100000;120997;100000;122633;13;113127
Luiza Trajano;1235592;400000;114044;100000;100000;100000;14;111767
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Lula;3473606;400000;185685;150329;251273;134284;2;295590
Luciano Huck;3434391;400000;313580;129465;399565;112198;3;146363
Guilherme Boulos;3230285;400000;213345;205751;365532;139470;4;116255
Arthur Lira;3183316;400000;282279;113319;370024;135736;5;138755
Fernando Haddad;2574234;400000;165290;149703;360174;126903;6;115497
Ciro Gomes;2468613;400000;184785;130213;212946;150981;7;139254
Joao Doria;2456605;400000;154815;132139;196171;115567;8;202729
Rodrigo Maia;1968721;400000;168211;137937;116628;120483;9;126929
Alexandre Kalil;1686908;400000;126049;110611;238501;103638;10;107476
Flavio Dino;1673780;400000;134853;102926;250038;103377;11;100000
Sergio Moro;1419250;400000;100000;121615;100000;123969;12;113816
Rodrigo Pacheco;1297801;400000;123688;100318;100000;100345;13;113135
Luiza Trajano;1267177;400000;119247;100000;100000;100000;14;112497
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Luciano Huck;3483130;400000;319895;129791;399723;114036;2;147029
Lula;3438351;400000;182325;144754;250968;148911;3;284970
Guilherme Boulos;3279193;400000;225419;209379;357930;142323;4;110568
Arthur Lira;3137587;400000;275550;113967;364180;136324;5;138243
Ciro Gomes;2670153;400000;210562;134235;210503;160272;6;139385
Fernando Haddad;2566550;400000;162285;149466;361413;129500;7;114303
Joao Doria;2337152;400000;146583;131184;188200;114344;8;194701
Rodrigo Maia;1721270;400000;160708;120992;114211;101170;9;125815
Alexandre Kalil;1600210;400000;110031;110743;238169;103906;10;106866
Flavio Dino;1591333;400000;124463;103759;233682;104734;11;100000
Luiza Trajano;1242257;400000;116269;100081;100000;100041;12;110742
Sergio Moro;1201724;400000;100000;100000;100000;100000;13;118940
Rodrigo Pacheco;1183059;400000;105534;100413;100000;100420;14;109612
Jair Bolsonaro;8326121;400000;400000;400000;395254;400000;1;400000
Luciano Huck;3724188;400000;370183;127624;400000;110263;2;148187
Arthur Lira;3583719;400000;325663;117305;381025;147053;3;150173
Lula;3440029;400000;198887;146544;249305;128094;4;287536
Guilherme Boulos;3404259;400000;249042;185514;352305;165636;5;116121
Ciro Gomes;2956258;400000;233952;138224;200199;181722;6;149136
Fernando Haddad;2742122;400000;182737;151621;367984;136817;7;114662
Joao Doria;2357642;400000;154970;129510;191554;120764;8;184892
Rodrigo Maia;1799619;400000;177156;117805;113493;100362;9;128589
Alexandre Kalil;1679093;400000;124106;111964;236581;105183;10;105948
Flavio Dino;1664990;400000;137799;104235;230184;106475;11;100000
Rodrigo Pacheco;1254895;400000;117419;100500;100000;100588;12;110984
Luiza Trajano;1230694;400000;114975;100046;100000;100037;13;109940
Sergio Moro;1173121;400000;100000;100000;100000;100000;14;113849
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Arthur Lira;3855738;400000;355394;113073;382448;158593;2;163840
Luciano Huck;3814411;400000;383334;145025;391137;110883;3;137380
Lula;3386758;400000;210852;139564;252229;130552;4;270434
Guilherme Boulos;3290299;400000;247186;165086;336363;177641;5;114286
Ciro Gomes;2910149;400000;241682;127215;194090;181739;6;147477
Fernando Haddad;2825918;400000;196437;147682;369178;143282;7;114316
Rodrigo Maia;2642220;400000;186414;163750;137869;190697;8;130398
Joao Doria;2307669;400000;171614;123728;177337;117170;9;175593
Flavio Dino;1735054;400000;149895;103252;234470;106771;10;100000
Sergio Moro;1530682;400000;100000;112201;100000;155877;11;114197
Rodrigo Pacheco;1343826;400000;132244;100341;100000;100716;12;112923
Alexandre Kalil;1343399;400000;140273;100000;100000;100000;13;106300
Luiza Trajano;1202602;400000;111782;100040;100000;100063;14;107924
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Arthur Lira;4068170;400000;361256;120392;380574;160706;2;187559
Luciano Huck;3891053;400000;394307;147746;389574;110416;3;139026
Ciro Gomes;3520293;400000;246609;167220;334165;183373;4;149312
Lula;3421606;400000;208690;145751;251412;131847;5;271535
Guilherme Boulos;3028632;400000;232254;135670;326999;180076;6;113508
Fernando Haddad;2886523;400000;189637;173678;363587;135169;7;114782
Rodrigo Maia;2519989;400000;182173;166701;139248;164833;8;132575
Joao Doria;2368146;400000;173212;131699;171958;119105;9;177272
Flavio Dino;1721152;400000;146170;104072;234670;106888;10;100000
Sergio Moro;1595780;400000;100000;119366;100000;157643;11;116877
Rodrigo Pacheco;1370900;400000;137883;100000;100000;100000;12;113441
Alexandre Kalil;1339945;400000;138433;100000;100000;100000;13;107414
Luiza Trajano;1184327;400000;108896;100061;100000;100062;14;107363
Jair Bolsonaro;8337521;400000;400000;400000;400000;400000;1;400000
Arthur Lira;4367573;400000;383856;126419;380322;176504;2;199191
Luciano Huck;4026960;400000;399894;173076;389846;106838;3;135296
Ciro Gomes;3508323;400000;228762;170038;336410;204291;4;141086
Guilherme Boulos;3159982;400000;232633;140982;332803;196947;5;113282
Lula;3092640;400000;212547;106777;251322;112021;6;267153
Fernando Haddad;2658277;400000;194924;130351;366191;137659;7;109954
Rodrigo Maia;2616051;400000;180795;171468;145541;175073;8;134100
Joao Doria;2369726;400000;179307;129946;192987;114890;9;168457
Rodrigo Pacheco;2048674;400000;146174;110560;319338;103304;10;118744
Flavio Dino;1737938;400000;149462;104371;230967;108176;11;100000
Sergio Moro;1650609;400000;100000;119733;100000;166703;12;118014
Alexandre Kalil;1349888;400000;142784;100000;100000;100000;13;105094
Luiza Trajano;1175269;400000;106569;100097;100000;100088;14;107877
Jair Bolsonaro;7923013;400000;321515;400000;400000;400000;1;400000
Arthur Lira;4818497;400000;400000;127871;380618;176037;2;263089
Rodrigo Pacheco;4086301;400000;317883;111254;319738;103097;3;319303
Lula;3601617;400000;177361;144574;381947;153897;4;258348
Luciano Huck;3595873;400000;336602;165262;387723;106098;5;127607
Ciro Gomes;3013212;400000;170200;161908;344322;177311;6;137470
Rodrigo Maia;2760979;400000;157061;178078;151546;168499;7;178884
Guilherme Boulos;2753797;400000;182574;134815;328747;176442;8;114723
Fernando Haddad;2580198;400000;164491;133417;372887;149457;9;107940
Joao Doria;2120629;400000;154625;127224;189292;112880;10;153507
Sergio Moro;1869836;400000;104009;126523;100000;191324;11;123936
Flavio Dino;1650751;400000;136025;103678;229785;106335;12;100000
Alexandre Kalil;1299058;400000;135025;100000;100000;100000;13;103342
Luiza Trajano;1139385;400000;100000;100078;100000;100083;14;107690
Jair Bolsonaro;7514121;400000;303511;400000;400000;400000;1;344150
Arthur Lira;5521956;400000;400000;127297;380146;164031;2;400000
Rodrigo Pacheco;4246444;400000;324240;116250;385948;109777;3;302357
Lula;3726917;400000;168325;173128;278066;195020;4;267027
Luciano Huck;3429584;400000;328192;159818;387116;104837;5;112869
Guilherme Boulos;2652086;400000;165184;131215;369915;159924;6;114069
Ciro Gomes;2591406;400000;157044;145103;341710;139333;7;127570
Rodrigo Maia;2524617;400000;136748;156645;151683;135056;8;208127
